"run","source_global","end_global","source_phase","optimized_decisions","physics_ticks","nonterminal_handoffs","terminal_handoffs","native_effect_ticks","own_phase_effect_ticks","native_audit_anomaly_rows","state_write_anomaly_rows","sampled"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P05",0,0,0,0,0,0,0,0,"false"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P06",0,0,0,0,0,0,0,0,"false"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P07",9,72,9,0,72,72,0,0,"true"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P08",11,88,9,0,88,79,0,0,"true"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P09",108,839,0,0,839,830,0,0,"true"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P10",0,0,0,0,0,0,0,0,"false"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P11",0,0,0,0,0,0,0,0,"false"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P12",0,0,0,0,0,0,0,0,"false"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P13",0,0,0,0,0,0,0,0,"false"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P01",8,64,4,0,64,64,0,0,"true"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P02",476,3808,4,0,3808,3804,0,0,"true"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P03",22,176,4,0,176,172,0,0,"true"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P04",6,48,4,0,48,44,0,0,"true"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P05",417,3325,1,0,3325,3321,0,0,"true"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P06",95,759,0,0,759,758,0,0,"true"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P07",0,0,0,0,0,0,0,0,"false"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P08",0,0,0,0,0,0,0,0,"false"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P09",0,0,0,0,0,0,0,0,"false"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P10",0,0,0,0,0,0,0,0,"false"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P11",0,0,0,0,0,0,0,0,"false"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P12",0,0,0,0,0,0,0,0,"false"
"20260908T0527001180716Z_gd7479d9fc41c_1c12a8d4ed0848f981c87791307c54bd",134400,135424,"P13",0,0,0,0,0,0,0,0,"false"
